date,disease,sinan_notifications
2023-12-31,dengue,92264
2024-01-07,dengue,39220
2024-01-14,dengue,72473
2024-01-21,dengue,107323
2024-01-28,dengue,142770
2024-02-04,dengue,173800
2024-02-11,dengue,184633
2024-02-18,dengue,294598
2024-02-25,dengue,295384
2024-03-03,dengue,264412
2024-03-10,dengue,304718
2024-03-17,dengue,415721
2024-03-24,dengue,378407
2024-03-31,dengue,341010
2024-04-07,dengue,284286
2024-04-14,dengue,392042
2024-04-21,dengue,363994
2024-04-28,dengue,316923
2024-05-05,dengue,230674
2024-05-12,dengue,298106
2024-05-19,dengue,245584
2024-05-26,dengue,148298
2024-06-02,dengue,161871
2024-06-09,dengue,77262
2024-06-16,dengue,77479
2024-06-23,dengue,60258
2024-06-30,dengue,100439
2024-07-07,dengue,21080
2024-07-14,dengue,23120
2024-07-21,dengue,19941
2024-07-28,dengue,52986
2024-08-04,dengue,66501
2024-08-11,dengue,12623
2024-08-18,dengue,11850
2024-08-25,dengue,9978
2024-09-01,dengue,83273
2024-09-08,dengue,10305
2024-09-15,dengue,8382
2024-09-22,dengue,8680
2024-09-29,dengue,69847
2024-10-06,dengue,15325
2024-10-13,dengue,7587
2024-10-20,dengue,8350
2024-10-27,dengue,17114
2024-11-03,dengue,79797
2024-11-10,dengue,9558
2024-11-17,dengue,11267
2024-11-24,dengue,13402
2024-12-01,dengue,87280
2024-12-08,dengue,15623
2024-12-15,dengue,19367
2024-12-22,dengue,16714
2024-12-29,dengue,264
2024-12-29,dengue,21999
2025-01-05,dengue,18350
2025-01-12,dengue,38423
2025-01-19,dengue,46588
2025-01-26,dengue,53885
2025-02-02,dengue,45068
2025-02-09,dengue,39145
2025-02-16,dengue,68533
2025-02-23,dengue,73666
2025-03-02,dengue,53231
2025-03-09,dengue,55285
2025-03-16,dengue,87625
2025-03-23,dengue,89292
2025-03-30,dengue,70951
2025-04-06,dengue,38175
2025-04-13,dengue,67246
2025-04-20,dengue,73132
2025-04-27,dengue,69596
2025-05-04,dengue,44046
2025-05-11,dengue,48896
2025-05-18,dengue,49312
2025-05-25,dengue,38962
2025-06-01,dengue,45142
2025-06-08,dengue,14629
2025-06-15,dengue,14939
2025-06-22,dengue,13187
2025-06-29,dengue,41035
2025-07-06,dengue,9481
2025-07-13,dengue,8227
2025-07-20,dengue,7694
2025-07-27,dengue,12743
2025-08-03,dengue,26461
2025-08-10,dengue,6364
2025-08-17,dengue,6714
2025-08-24,dengue,6492
2025-08-31,dengue,31884
2025-09-07,dengue,6169
2025-09-14,dengue,6955
2025-09-21,dengue,6904
2025-09-28,dengue,36761
2025-10-05,dengue,10676
2025-10-12,dengue,7790
2025-10-19,dengue,6719
2025-10-26,dengue,8247
2025-11-02,dengue,32851
2025-11-09,dengue,7243
2025-11-16,dengue,6194
2025-11-23,dengue,7376
2025-11-30,dengue,32834
2025-12-07,dengue,6005
2025-12-14,dengue,7179
2025-12-21,dengue,5412
2025-12-28,dengue,3947
2023-12-31,chikungunya,11824
2024-01-07,chikungunya,2769
2024-01-14,chikungunya,8992
2024-01-21,chikungunya,12414
2024-01-28,chikungunya,13848
2024-02-04,chikungunya,8584
2024-02-11,chikungunya,13453
2024-02-18,chikungunya,23529
2024-02-25,chikungunya,22295
2024-03-03,chikungunya,10048
2024-03-10,chikungunya,15008
2024-03-17,chikungunya,24471
2024-03-24,chikungunya,16417
2024-03-31,chikungunya,13914
2024-04-07,chikungunya,3114
2024-04-14,chikungunya,16229
2024-04-21,chikungunya,14751
2024-04-28,chikungunya,17686
2024-05-05,chikungunya,4111
2024-05-12,chikungunya,12450
2024-05-19,chikungunya,10962
2024-05-26,chikungunya,6958
2024-06-02,chikungunya,12880
2024-06-09,chikungunya,3041
2024-06-16,chikungunya,5642
2024-06-23,chikungunya,4610
2024-06-30,chikungunya,12166
2024-07-07,chikungunya,1482
2024-07-14,chikungunya,3203
2024-07-21,chikungunya,2689
2024-07-28,chikungunya,9176
2024-08-04,chikungunya,8120
2024-08-11,chikungunya,1909
2024-08-18,chikungunya,2061
2024-08-25,chikungunya,1815
2024-09-01,chikungunya,11819
2024-09-08,chikungunya,2003
2024-09-15,chikungunya,1647
2024-09-22,chikungunya,1572
2024-09-29,chikungunya,8749
2024-10-06,chikungunya,3308
2024-10-13,chikungunya,1455
2024-10-20,chikungunya,1493
2024-10-27,chikungunya,3295
2024-11-03,chikungunya,12553
2024-11-10,chikungunya,1700
2024-11-17,chikungunya,1724
2024-11-24,chikungunya,2074
2024-12-01,chikungunya,12684
2024-12-08,chikungunya,2059
2024-12-15,chikungunya,2583
2024-12-22,chikungunya,1701
2024-12-29,chikungunya,147
2024-12-29,chikungunya,1085
2025-01-05,chikungunya,4412
2025-01-12,chikungunya,5946
2025-01-19,chikungunya,7695
2025-01-26,chikungunya,8769
2025-02-02,chikungunya,9313
2025-02-09,chikungunya,10260
2025-02-16,chikungunya,9713
2025-02-23,chikungunya,8804
2025-03-02,chikungunya,6731
2025-03-09,chikungunya,9080
2025-03-16,chikungunya,9454
2025-03-23,chikungunya,9625
2025-03-30,chikungunya,9976
2025-04-06,chikungunya,9528
2025-04-13,chikungunya,7870
2025-04-20,chikungunya,9270
2025-04-27,chikungunya,8025
2025-05-04,chikungunya,9345
2025-05-11,chikungunya,8778
2025-05-18,chikungunya,8489
2025-05-25,chikungunya,7135
2025-06-01,chikungunya,5956
2025-06-08,chikungunya,5471
2025-06-15,chikungunya,3561
2025-06-22,chikungunya,3763
2025-06-29,chikungunya,3179
2025-07-06,chikungunya,2931
2025-07-13,chikungunya,2852
2025-07-20,chikungunya,2462
2025-07-27,chikungunya,2454
2025-08-03,chikungunya,2319
2025-08-10,chikungunya,2068
2025-08-17,chikungunya,2276
2025-08-24,chikungunya,1907
2025-08-31,chikungunya,2005
2025-09-07,chikungunya,1956
2025-09-14,chikungunya,2103
2025-09-21,chikungunya,2137
2025-09-28,chikungunya,1893
2025-10-05,chikungunya,1921
2025-10-12,chikungunya,1741
2025-10-19,chikungunya,1915
2025-10-26,chikungunya,1558
2025-11-02,chikungunya,1826
2025-11-09,chikungunya,1934
2025-11-16,chikungunya,1446
2025-11-23,chikungunya,1826
2025-11-30,chikungunya,1780
2025-12-07,chikungunya,1652
2025-12-14,chikungunya,1546
2025-12-21,chikungunya,968
2025-12-28,chikungunya,617
2023-12-31,zika,1132
2024-01-07,zika,347
2024-01-14,zika,762
2024-01-21,zika,868
2024-01-28,zika,1000
2024-02-04,zika,912
2024-02-11,zika,1019
2024-02-18,zika,2074
2024-02-25,zika,1948
2024-03-03,zika,1070
2024-03-10,zika,1596
2024-03-17,zika,2608
2024-03-24,zika,1698
2024-03-31,zika,1433
2024-04-07,zika,379
2024-04-14,zika,1913
2024-04-21,zika,1627
2024-04-28,zika,1798
2024-05-05,zika,423
2024-05-12,zika,1100
2024-05-19,zika,1012
2024-05-26,zika,663
2024-06-02,zika,1302
2024-06-09,zika,404
2024-06-16,zika,526
2024-06-23,zika,423
2024-06-30,zika,1185
2024-07-07,zika,219
2024-07-14,zika,330
2024-07-21,zika,344
2024-07-28,zika,930
2024-08-04,zika,820
2024-08-11,zika,277
2024-08-18,zika,316
2024-08-25,zika,261
2024-09-01,zika,1110
2024-09-08,zika,299
2024-09-15,zika,298
2024-09-22,zika,262
2024-09-29,zika,837
2024-10-06,zika,376
2024-10-13,zika,230
2024-10-20,zika,212
2024-10-27,zika,305
2024-11-03,zika,1260
2024-11-10,zika,313
2024-11-17,zika,266
2024-11-24,zika,344
2024-12-01,zika,1196
2024-12-08,zika,379
2024-12-15,zika,478
2024-12-22,zika,271
2024-12-29,zika,88
2024-12-29,zika,140
2025-01-05,zika,479
2025-01-12,zika,554
2025-01-19,zika,677
2025-01-26,zika,840
2025-02-02,zika,709
2025-02-09,zika,900
2025-02-16,zika,1038
2025-02-23,zika,939
2025-03-02,zika,585
2025-03-09,zika,1030
2025-03-16,zika,924
2025-03-23,zika,897
2025-03-30,zika,988
2025-04-06,zika,928
2025-04-13,zika,818
2025-04-20,zika,830
2025-04-27,zika,663
2025-05-04,zika,785
2025-05-11,zika,804
2025-05-18,zika,714
2025-05-25,zika,668
2025-06-01,zika,558
2025-06-08,zika,542
2025-06-15,zika,300
2025-06-22,zika,373
2025-06-29,zika,337
2025-07-06,zika,309
2025-07-13,zika,310
2025-07-20,zika,313
2025-07-27,zika,315
2025-08-03,zika,350
2025-08-10,zika,359
2025-08-17,zika,320
2025-08-24,zika,280
2025-08-31,zika,302
2025-09-07,zika,275
2025-09-14,zika,290
2025-09-21,zika,318
2025-09-28,zika,263
2025-10-05,zika,256
2025-10-12,zika,250
2025-10-19,zika,261
2025-10-26,zika,199
2025-11-02,zika,250
2025-11-09,zika,253
2025-11-16,zika,188
2025-11-23,zika,241
2025-11-30,zika,209
2025-12-07,zika,221
2025-12-14,zika,173
2025-12-21,zika,110
2025-12-28,zika,94
